Valuation,Industry,Country,Year Founded,Funding,ROI
1000,13,44,2016,150,850
1000,2,9,2015,697,303
1000,6,9,2011,224,776
1000,1,43,2013,292,708
1000,6,17,2005,800,200
1000,1,8,2018,205,795
1000,9,29,2011,170,830
1000,14,19,2015,352,648
1000,1,44,2013,238,762
1000,4,44,2017,526,474
1000,8,34,2018,210,790
1000,13,44,2014,241,759
1000,14,22,2013,185,815
1000,8,44,2008,538,462
1000,10,44,2020,141,859
1000,8,44,2009,406,594
1000,11,44,2016,165,835
1000,10,44,2016,570,430
1000,14,6,2015,390,610
1000,6,34,2015,595,405
1000,4,44,2014,182,818
1000,5,44,2019,254,746
1000,6,18,2020,140,860
1000,8,28,2020,109,891
1000,8,44,2016,305,695
1000,0,44,2012,196,804
1000,4,44,2014,269,731
1000,11,19,2015,107,893
1000,10,16,2014,232,768
1000,6,9,2012,549,451
1000,4,44,2020,128,872
1000,11,22,2015,325,675
1000,5,31,2018,79,921
1000,10,9,2000,682,318
1000,8,6,2012,460,540
1000,9,9,2017,105,895
1000,4,44,2016,209,791
1000,13,42,2015,279,721
1000,8,44,2015,145,855
1000,10,44,2012,259,741
1000,4,44,2016,258,742
1000,14,44,2015,294,706
1000,1,44,2009,277,723
1000,11,44,2012,299,701
1000,10,9,2019,391,609
1000,8,44,2011,314,686
1000,14,40,2017,350,650
1000,14,9,2014,359,641
1000,5,19,2000,685,315
1000,8,7,2004,156,844
1000,12,9,2011,283,717
1000,8,44,2018,45,955
1000,9,9,2015,439,561
1000,6,31,2007,269,731
1000,8,44,2012,152,848
1000,11,1,2015,284,716
1000,1,44,2016,362,638
1000,1,22,2017,221,779
1000,0,9,2019,157,843
1000,11,19,2017,137,863
1000,3,9,2020,100,900
1000,6,44,2017,800,200
1000,12,15,2016,330,670
1000,6,29,2011,127,873
1000,7,9,2010,302,698
1000,8,44,2015,337,663
1000,8,44,2011,93,907
1000,1,9,2015,200,800
1000,14,6,2011,592,408
1000,13,17,2013,600,400
